資料集識別碼,資料集名稱,服務分類,檔案格式,資料下載網址,編碼格式,資料集類型,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,相關網址,計費方式,提供機關聯絡人姓名,提供機關聯絡人電話,上架日期,詮釋資料更新時間,備註
6258,勞保投保薪資分級表,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020014-Uy8;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020014-AXF;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020014-cZz;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020014-wmq,UTF-8;UTF-8;UTF-8;UTF-8,b01,提供投保單位及被保險人查對月薪資總額適用之投保薪資等級,身分別;投保薪資等級;月薪資總額;月投保薪資,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"陳世帆 先生",02-23961266#1648,"2013/09/06 08:00","2018/07/27 15:46","本表投保薪資金額以新臺幣元為單位。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6259,勞就保保險費分擔金額表,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020015-EqS;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020015-f4Z;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020015-KBX;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020015-DvC,UTF-8;UTF-8;UTF-8;UTF-8,b01,提供投保單位及被保險人查詢每月個別應負擔之勞、就保保險費,序號;普通費率;就保費率;投保薪資;勞工應負擔保費金額;單位應負擔保費金額,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"陳世帆 先生",02-23961266#1648,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：勞就保合計之月負擔保險費金額表係提供各投保單位及被保險人，依據個別投保薪資等級，據以查詢個別應負擔之保險費。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6260,職業工會會員勞保月負擔保險費金額表,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020016-EFx;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020016-Jvo;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020016-CCn;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020016-xht,UTF-8;UTF-8;UTF-8;UTF-8,b01,提供職業工會及所屬會員查詢每月個別應負擔保險費,序號;職災費率;普通費率;投保薪資;月負擔保險費金額,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"陳世帆 先生",02-23961266#1648,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：職業工會會員勞工保險月負擔保險費金額表係提供各職業工會及所屬會員，視其投保薪資等級，據以查詢其應負擔之保險費。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6261,漁會會員勞保月負擔保險費金額表,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020017-9r3;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020017-Li7;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020017-uga;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020017-UKC,UTF-8;UTF-8;UTF-8;UTF-8,b01,提供漁會及所屬會員查詢每月個別應負擔保險費,投保薪資等級;月投保薪資;會員每月應負擔保險費金額,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"陳世帆 先生",02-23961266#1648,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：漁會會員勞工保險月負擔保險費金額表係提供各地區漁會及所屬會員，視其投保薪資等級，據以查詢其應負擔之保險費。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6262,職業災害保險適用行業別及費率表,求職及就業,CSV;JSON;WEBSERVICES,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020018-LpJ;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020018-81Z;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020018-b4U,UTF-8;UTF-8;UTF-8,b01,提供投保單位查詢其單位適用之職災費率,序號;大分類;費率編號;行業類別;行業別費率％;上下班費率％;職災費率％,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"陳世帆 先生",02-23961266#1648,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：勞工保險職業災害保險適用行業別及費率表係提供投保單位計算員工職業災害保險費使用；另本表依規定每3年調整一次，此次提供之版本，係依照行政院勞工委員會101年10月18日勞保3字第1010140428號函發布修正之「勞工保險職業災害保險適用行業別及費率表」，自102年1月1日起實施，費率表的上、下班災害費率採單一費率為0.06%，行業分類由現行的16大分類，61種行業別改為19大分類，55種行業別。另為激勵雇主重視改善勞工安全衛生設施、提升工作環境品質，達到預防並減少職業災害發生之目的，勞工保險職業災害保險採實績費率制， 102年度勞工保險職業災害保險實績費率適用單位，為100年7月1日起至101年6月30日止，平均僱用被保險人數達70人以上之投保單位，其行業別災害費率應按其98年至100年職業災害保險給付總額占應繳職業災害保險費總額之比率高低計算調整，再加計上、下班災害費率0.06%，即為其102年度適用之勞保職災費率。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6264,投保農會名稱與地址一覽表,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020020-HJi;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020020-VDW;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020020-PPG;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020020-Bg0,UTF-8;UTF-8;UTF-8;UTF-8,b01,提供各縣市基層農會名稱與地址，便利民眾至農會辦理農保、健保、金融服務、農業推廣等相關服務。,縣市別;農會名稱;農會保險部地址,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"蔡育婕 小姐",02-23961266#1024,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：提供各縣市基層農會名稱與地址，便利民眾至農會辦理農保、健保、金融服務、農業推廣等相關服務，以提升農民生活品質。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6265,勞保局國保業務說明會辦理地區場次,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020021-1Fc;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020021-0l4;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020021-F1K;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020021-cZm,UTF-8;UTF-8;UTF-8;UTF-8,b01,國民年金業務說明會相關資訊,場次;辦理地區;日期;時間;講師;地點;縣市政府窗口,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"陳美如 小姐",02-23961266#6010,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：台灣地區已進入高齡社會，隨著平均壽命的延長，出生率的下降，老人的人數和比例呈現顯著成長，因此提供老年國民生活之經濟安全保障，已成為我國社會安全體系重要的一環。國內無相關社會保險者約400萬人，國民年金保險的開辦提供未能獲得適足保障的國民基本經濟安全。為使民眾了解國民年金保險相關資訊，並重視自身的權益，本局以辦理說明會的方式向民眾宣導，並將各說明會的場次、日期、時間等相關資訊集中列示於政府資料開放平臺，歡迎各界查詢應用。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6266,直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構名冊,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020022-VLx;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020022-zDJ;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020022-0zF;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020022-EA1,UTF-8;UTF-8;UTF-8;UTF-8,b01,直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構名冊,醫院所在縣市;序號;醫院中文名稱;醫院電話號碼區域碼;醫院電話號碼;醫院地址,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"張雅筠 小姐",02-23961266#6229,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：國民年金身心障礙年金給付需經中央衛生主管機關評鑑合格之醫院診斷為重度以上身心障礙，且經評估無工作能力，若身心障礙「手冊」或「證明」不屬於「國民年金保險身心障礙（基本保證）年金視為無工作能力身心障礙類別及等級表」中視為無工作能力的類別及等級，必須經直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構評估工作能力，目前可辦理身心障礙鑑定之醫療機構計有254家列表如下，您可以透過本平台點選「直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構名冊」查詢下載應用。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6267,國民年金保險費代收及轉帳代繳金融機構一覽表,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020024-sW1;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020024-pSH;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020024-GGx;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020024-bus,UTF-8;UTF-8;UTF-8;UTF-8,b01,代收國民年金保險費金融機構,金資代號;金融機構名稱;代收國保費;轉帳代繳國保費;網路ATM繳納國保費;網路銀行繳納國保費;行動APP繳納國保費,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"李祖禎 先生",02-23961266#6406,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：提供接受本局委託(或接受複委託) 辦理臨櫃代收及轉帳代繳國民年金保險費之金融機構資料。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6268,勞工保險局委託代收、轉帳保險費金融機構一覽表,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020025-nDY;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020025-Vus;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020025-r89;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020025-Ezi,UTF-8;UTF-8;UTF-8;UTF-8,b01,勞工保險局委託代收、轉帳保險費金融機構名稱,主辦銀行;複委託銀行;金資代號;代收;轉帳;網路銀行;網路ATM,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"江鏽欣 小姐",02-23961266#2817,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：提供辦理勞工保險費代收及轉帳代繳之金融機構資料。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6269,職業工會、漁會欠費名單,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020026-gu8;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020026-Est;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020026-DTE;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020026-bNb,UTF-8;UTF-8;UTF-8;UTF-8,b01,尚積欠勞保費之職業工會、漁會,序號;單位名稱,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"林家平 先生",02-23961266#2415,"2013/09/06 08:00","2018/09/21 10:59","介紹文稿內容：每月公布積欠勞保費之職業工會、漁會名單，提醒被保險人注意職業工會、漁會財務運作狀況，另被保險人至職業工會、漁會繳交勞保費時，務必向職業工會、漁會索取收據或繳費證明並妥善保存，以保障日後領取勞保給付權益。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6270,勞工保險預防職業病健康檢查之檢查對象及項目,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020027-pHR;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020027-5Yr;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020027-yQx;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020027-cqO,UTF-8;UTF-8;UTF-8;UTF-8,b01,符合「勞工健康保護規則」所列特別危害健康作業，且最近加保年資連續滿1年以上之被保險人，每年可由投保單位提出申請勞工保險預防職業病健康檢查1次。,檢查類別代號;檢查對象;檢查項目1;檢查項目2;檢查項目3;檢查項目4;檢查項目5;檢查項目6;檢查項目7;檢查項目8;檢查項目9;檢查項目10,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"郭君豪 先生",02-23961266#1455,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：為維護被保險人健康，勞保局辦理勞工保險預防職業病健康檢查，俾及早發現職業病初期徵兆，早日治療。符合「勞工健康保護規則」所列特別危害健康作業之勞工，最近加保年資至勞保局受理申請日止，連續滿1年以上者，每年度得申請本項檢查1次。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6271,衛生福利部評鑑合格之醫院名單,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020028-cAw;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020028-8A3;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020028-iNL;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020028-cXU,UTF-8;UTF-8;UTF-8;UTF-8,b01,提供勞工因眼、耳、咀嚼吞嚥及言語機能、胸腹部臟器(機能失能)、脊柱畸形或運動失能、皮膚或上下肢機能失能者，得就近至評鑑合格醫院開具勞保失能診斷書，申請勞保失能給付。所在縣市、醫院名稱、醫院層級、醫院評鑑合格效期、教學評鑑合格效期、醫院電話、醫院地址,所在縣市;醫院名稱;編號;醫院評鑑結果;教學醫院評鑑結果;醫院評鑑合格效期;教學醫院合格效期;醫院電話;地址,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"趙家慶 先生",02-23961266#1305,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：「勞保失能給付」中，部分失能項目(眼、耳、咀嚼吞嚥及言語機能、胸腹部臟器(機能失能)、脊柱畸形或運動失能、皮膚或上下肢機能失能)基於認定技術及設備需要，其開具失能診斷書之全民健康保險特約醫院，須屬衛生福利部醫院評鑑優等以上、醫院評鑑合格之醫學中心或區域醫院、醫院評鑑及教學醫院評鑑合格之醫院，為提供民眾正確有效的資訊，特將評鑑合格醫院名單之資料集提供於政府資料開放平臺。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6272,勞工退休金繳納方式,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020029-GiH;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020029-AZe;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020029-E9t;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020029-HM1,UTF-8;UTF-8;UTF-8;UTF-8,b01,為便利提繳單位繳納勞工退休金，提供多種繳納方式。,繳納機構;金資代號;臨櫃代收;轉帳代繳;網路銀行;網路ATM;應繳金額限制;手續費,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"李嘉瑜 小姐",02-23961266#5280,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：勞退新制勞工退休金，由勞保局按月依雇主申報之勞工提、停繳日期、提繳工資及提繳率等資料逐一計算個別勞工之雇主提繳退休金、個人自願提繳退休金，並分別彙總開具繳款單，於次月25日前連同計算名冊一併寄發，雇主應於再次月底前繳納。為便利雇主繳納勞工退休金，雇主可持繳款單至勞保局指定之代收金融機構或便利商店臨櫃繳納，亦可向勞保局指定之轉帳代繳金融機構申請以轉帳代繳方式繳納，或透過提供網路銀行、網路ATM繳納勞工退休金服務之金融機構網路繳納。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6273,勞退個人專戶查詢管道,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020030-HsM;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020030-lJS;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020030-MRD;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020030-PZn,UTF-8;UTF-8;UTF-8;UTF-8,b01,提供多種查詢管道，方便勞工查詢雇主是否有提繳勞工退休金及勞退個人專戶金額。,查詢方式;查詢地點;查詢功能;說明,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"李嘉瑜 小姐",02-23961266#5280,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：勞工退休金個人專戶，係以勞工之國民身分證統一編號、姓名及出生年月日為帳號，記載其每段工作期間雇主按月為其提繳之退休金、勞工個人自願提繳之退休金及每年分配之收益資料，基於個人資料保護，非專戶本人不得查詢。勞保局目前提供自然人憑證、勞動保障卡、郵政金融卡、臨櫃、個人智慧型手機、平板電腦APP等多種查詢管道，便利勞工查詢雇主是否有提繳勞工退休金及勞退個人專戶金額，維護自身的退休金權益。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6274,勞工退休金月提繳工資分級表,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-020031-PFu;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020031-t5c;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-020031-iZg;https://apiservice.mol.gov.tw/OdService/download/A17000000J-020031-8tw,UTF-8;UTF-8;UTF-8;UTF-8,b01,雇主應按勞工每月實際工資總額，依「勞工退休金月提繳工資分級表」規定之等級金額覈實申報月提繳工資。,月提繳工資等級;實際工資;月提繳工資,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"李嘉瑜 小姐",02-23961266#5280,"2013/09/06 08:00","2018/07/27 14:35","介紹文稿內容：雇主應按勞工每月實際工資總額，依「勞工退休金月提繳工資分級表」之等級金額覈實申報月提繳工資，勞保局按月依月提繳工資、雇主提繳率及全月在職情形計算雇主為勞工提繳之勞工退休金金額。故月提繳工資之正確申報將影響勞工退休金金額之多寡，關係勞工權益至鉅。勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
